REF_DATE,GEO,DGUID,Census family structure (7),Family size of census family (4),Ages of census family members (18),Number of earners in the census family (5),Census family after-tax income groups (21),Year (2),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,16.1.3.8.1.3.1,10,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,16.1.3.8.1.4.1,20,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,16.1.3.8.1.5.1,20,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,16.1.3.8.1.6.1,55,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,16.1.3.8.1.7.1,85,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,16.1.3.8.1.8.1,125,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,16.1.3.8.1.9.1,195,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,16.1.3.8.1.10.1,330,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,16.1.3.8.1.11.1,370,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,16.1.3.8.1.12.1,1045,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,16.1.3.8.1.13.1,1670,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,16.1.3.8.1.14.1,2010,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,16.1.3.8.1.15.1,2150,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,16.1.3.8.1.16.1,2205,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,16.1.3.8.1.17.1,10155,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,16.1.3.8.1.18.1,4535,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,16.1.3.8.1.19.1,2690,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,16.1.3.8.1.20.1,2920,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,16.1.3.8.1.21.1,100000,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,16.1.3.9.1.1.1,25555,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,16.1.3.9.1.2.1,150,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,16.1.3.9.1.3.1,60,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,16.1.3.9.1.4.1,135,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,16.1.3.9.1.5.1,200,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,16.1.3.9.1.6.1,345,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,16.1.3.9.1.7.1,590,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,16.1.3.9.1.8.1,655,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,16.1.3.9.1.9.1,855,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,16.1.3.9.1.10.1,1080,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,16.1.3.9.1.11.1,1370,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,16.1.3.9.1.12.1,3015,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,16.1.3.9.1.13.1,2950,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,16.1.3.9.1.14.1,2955,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,16.1.3.9.1.15.1,2585,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,16.1.3.9.1.16.1,2090,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,16.1.3.9.1.17.1,6525,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,16.1.3.9.1.18.1,3495,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,16.1.3.9.1.19.1,1765,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,16.1.3.9.1.20.1,1260,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,16.1.3.9.1.21.1,74500,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,16.1.4.7.1.1.1,46820,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,16.1.4.7.1.2.1,215,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,16.1.4.7.1.3.1,60,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,16.1.4.7.1.4.1,90,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,16.1.4.7.1.5.1,85,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,16.1.4.7.1.6.1,155,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,16.1.4.7.1.7.1,245,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,16.1.4.7.1.8.1,395,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,16.1.4.7.1.9.1,530,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,16.1.4.7.1.10.1,675,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,16.1.4.7.1.11.1,940,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,16.1.4.7.1.12.1,2640,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,16.1.4.7.1.13.1,3555,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,16.1.4.7.1.14.1,4040,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,16.1.4.7.1.15.1,4225,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,16.1.4.7.1.16.1,4205,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,16.1.4.7.1.17.1,24770,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,16.1.4.7.1.18.1,9250,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,16.1.4.7.1.19.1,6790,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,16.1.4.7.1.20.1,8730,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,16.1.4.7.1.21.1,103000,,,,0
2021,New Brunswick,2021A000213,Total - Census family structure,4 or more persons,None,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,16.1.4.8.1.1.1,6240,,,,0
